Format,Matches,Innings,Runs,Balls,Highest,Average,SR,Not Out,Fours,Sixes,Ducks,50s,100s,200s,300s,400s,player_name,Country
Test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aftab Alam,Afghanistan
ODI,27.0,17.0,80.0,107.0,16.0,11.43,74.77,10.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,Aftab Alam,Afghanistan
T20,12.0,5.0,2.0,9.0,1.0,1.0,22.23,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Aftab Alam,Afghanistan
IPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aftab Alam,Afghanistan
Test,6.0,10.0,440.0,771.0,164.0,44.0,57.07,0.0,37.0,11.0,1.0,3.0,1.0,0.0,0.0,0.0,Asghar Afghan,Afghanistan
ODI,114.0,108.0,2424.0,3631.0,101.0,24.48,66.76,9.0,163.0,65.0,7.0,12.0,1.0,0.0,0.0,0.0,Asghar Afghan,Afghanistan
T20,75.0,68.0,1382.0,1247.0,62.0,21.94,110.83,5.0,87.0,69.0,5.0,4.0,0.0,0.0,0.0,0.0,Asghar Afghan,Afghanistan
IPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asghar Afghan,Afghanistan
Test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dawlat Zadran,Afghanistan
ODI,82.0,56.0,513.0,664.0,47.0,17.1,77.26,26.0,40.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,Dawlat Zadran,Afghanistan
T20,33.0,17.0,68.0,42.0,13.0,7.56,161.91,8.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,Dawlat Zadran,Afghanistan
IPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dawlat Zadran,Afghanistan
Test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gulbadin Naib,Afghanistan
ODI,89.0,78.0,1332.0,1767.0,82.0,19.88,75.39,11.0,115.0,33.0,7.0,5.0,0.0,0.0,0.0,0.0,Gulbadin Naib,Afghanistan
T20,74.0,64.0,945.0,775.0,57.0,20.54,121.94,18.0,70.0,44.0,7.0,3.0,0.0,0.0,0.0,0.0,Gulbadin Naib,Afghanistan
IPL,2.0,1.0,19.0,15.0,19.0,19.0,126.67,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Gulbadin Naib,Afghanistan
Test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hamid Hassan,Afghanistan
ODI,38.0,22.0,107.0,195.0,17.0,6.69,54.88,6.0,10.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,Hamid Hassan,Afghanistan
T20,25.0,9.0,50.0,46.0,22.0,16.67,108.7,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Hamid Hassan,Afghanistan
IPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hamid Hassan,Afghanistan
Test,10.0,19.0,757.0,1596.0,246.0,50.47,47.44,4.0,85.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,Hashmatullah Shahidi,Afghanistan
ODI,90.0,88.0,2435.0,3614.0,97.0,33.36,67.38,15.0,209.0,13.0,6.0,22.0,0.0,0.0,0.0,0.0,Hashmatullah Shahidi,Afghanistan
T20,6.0,4.0,48.0,55.0,36.0,24.0,87.28,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hashmatullah Shahidi,Afghanistan
