Format,Matches,Innings,Balls,Runs,Maidens,Wickets,Avg,Eco,SR,BBI,BBM,4w,5w,10w,player_name,Country
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Aftab Alam,Afghanistan
ODI,27,27,1257,1033,14,41,25.2,4.93,30.66,25-Apr,25-Apr,1,0,0,Aftab Alam,Afghanistan
T20,12,12,245,324,0,11,29.45,7.93,22.27,23-Feb,23-Feb,0,0,0,Aftab Alam,Afghanistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Aftab Alam,Afghanistan
Test,6,2,18,17,0,0,0.0,5.67,0.0,0/1,0/1,0,0,0,Asghar Afghan,Afghanistan
ODI,114,7,139,91,1,3,30.33,3.93,46.33,1-Jan,1-Jan,0,0,0,Asghar Afghan,Afghanistan
T20,75,1,4,4,0,1,4.0,0.0,4.0,4-Jan,4-Jan,0,0,0,Asghar Afghan,Afghanistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Asghar Afghan,Afghanistan
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Dawlat Zadran,Afghanistan
ODI,82,80,3769,3423,42,115,29.77,5.45,32.77,22-Apr,22-Apr,3,0,0,Dawlat Zadran,Afghanistan
T20,33,34,741,980,2,40,24.5,7.94,18.52,Apr-44,Apr-44,1,0,0,Dawlat Zadran,Afghanistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Dawlat Zadran,Afghanistan
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Gulbadin Naib,Afghanistan
ODI,89,80,2883,2675,12,74,36.15,5.57,38.96,Jun-43,Jun-43,3,1,0,Gulbadin Naib,Afghanistan
T20,74,44,649,860,1,33,26.06,7.95,19.67,20-Apr,20-Apr,1,0,0,Gulbadin Naib,Afghanistan
IPL,2,1,6,12,0,0,0.0,12.0,0.0,0/12,0/12,0,0,0,Gulbadin Naib,Afghanistan
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Hamid Hassan,Afghanistan
ODI,38,37,1734,1331,25,59,22.56,4.61,29.39,May-45,May-45,2,1,0,Hamid Hassan,Afghanistan
T20,25,25,544,580,2,35,16.57,6.4,15.54,22-Apr,22-Apr,1,0,0,Hamid Hassan,Afghanistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Hamid Hassan,Afghanistan
Test,10,5,84,59,0,0,0.0,4.21,0.0,0/4,0/4,0,0,0,Hashmatullah Shahidi,Afghanistan
ODI,90,2,18,25,0,0,0.0,8.33,0.0,0/8,0/8,0,0,0,Hashmatullah Shahidi,Afghanistan
T20,6,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Hashmatullah Shahidi,Afghanistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Hashmatullah Shahidi,Afghanistan
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Hazratullah Zazai,Afghanistan
ODI,16,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Hazratullah Zazai,Afghanistan
T20,45,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Hazratullah Zazai,Afghanistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Hazratullah Zazai,Afghanistan
Test,7,1,12,13,0,1,13.0,6.5,12.0,13-Jan,13-Jan,0,0,0,Ibrahim Zadran,Afghanistan
ODI,36,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ibrahim Zadran,Afghanistan
T20,44,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ibrahim Zadran,Afghanistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ibrahim Zadran,Afghanistan
Test,3,5,546,254,17,8,31.75,2.79,68.25,Mar-36,Apr-95,0,0,0,Mohammad Nabi,Afghanistan
ODI,173,164,7960,5706,52,176,32.42,4.3,45.23,17-May,17-May,4,1,0,Mohammad Nabi,Afghanistan
T20,131,122,2242,2730,5,97,28.14,7.31,23.11,10-Apr,10-Apr,3,0,0,Mohammad Nabi,Afghanistan
IPL,24,23,417,517,0,15,34.47,7.44,27.8,11-Apr,11-Apr,1,0,0,Mohammad Nabi,Afghanistan
Test,2,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Mohammad Shahzad,Afghanistan
ODI,84,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Mohammad Shahzad,Afghanistan
T20,72,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Mohammad Shahzad,Afghanistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Mohammad Shahzad,Afghanistan
Test,1,1,90,75,1,1,75.0,5.0,90.0,Jan-75,Jan-75,0,0,0,Muheeb Ur Rahman,Afghanistan
ODI,75,74,3968,2863,39,101,28.35,4.33,39.29,May-50,May-50,3,1,0,Muheeb Ur Rahman,Afghanistan
T20,49,49,1080,1141,1,63,18.11,6.34,17.14,20-May,20-May,1,1,0,Muheeb Ur Rahman,Afghanistan
IPL,19,19,434,592,0,19,31.16,8.18,22.84,27-Mar,27-Mar,0,0,0,Muheeb Ur Rahman,Afghanistan
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Najibullah Zadran,Afghanistan
ODI,92,2,30,30,0,0,0.0,6.0,0.0,0/9,0/9,0,0,0,Najibullah Zadran,Afghanistan
T20,107,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Najibullah Zadran,Afghanistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Najibullah Zadran,Afghanistan
Test,2,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Noor Ali Zadran,Afghanistan
ODI,51,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Noor Ali Zadran,Afghanistan
T20,22,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Noor Ali Zadran,Afghanistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Noor Ali Zadran,Afghanistan
Test,11,4,84,53,1,1,53.0,3.79,84.0,30-Jan,Jan-34,0,0,0,Rahmat Shah,Afghanistan
ODI,123,29,543,532,2,15,35.47,5.88,36.2,May-32,May-32,0,1,0,Rahmat Shah,Afghanistan
T20,1,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Rahmat Shah,Afghanistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Rahmat Shah,Afghanistan
